,Date,Price
368,2011-06-01,2652.75
369,2011-06-02,2631.5
370,2011-06-03,2609.25
371,2011-06-06,2626.75
372,2011-06-07,2664.25
373,2011-06-08,2645.0
374,2011-06-09,2625.25
375,2011-06-10,2604.5
376,2011-06-13,2559.75
377,2011-06-14,2575.25
378,2011-06-15,2578.25
379,2011-06-16,2515.25
380,2011-06-17,2518.5
381,2011-06-20,2490.5
382,2011-06-21,2519.5
383,2011-06-22,2519.5
384,2011-06-23,2476.0
385,2011-06-24,2465.25
386,2011-06-27,2466.25
387,2011-06-28,2488.75
388,2011-06-29,2491.25
389,2011-06-30,2508.5
390,2011-07-01,2485.75
391,2011-07-04,2460.25
392,2011-07-05,2485.25
393,2011-07-06,2516.5
394,2011-07-07,2528.75
395,2011-07-08,2545.25
396,2011-07-11,2451.5
397,2011-07-12,2443.5
398,2011-07-13,2450.25
399,2011-07-14,2476.5
400,2011-07-15,2449.5
401,2011-07-18,2444.25
402,2011-07-19,2481.75
403,2011-07-20,2514.5
404,2011-07-21,2473.5
405,2011-07-22,2547.75
406,2011-07-25,2572.5
407,2011-07-26,2612.5
408,2011-07-27,2622.25
409,2011-07-28,2600.5
410,2011-07-29,2581.0
411,2011-08-01,2605.25
412,2011-08-02,2540.5
413,2011-08-03,2529.5
414,2011-08-04,2472.5
415,2011-08-05,2427.5
416,2011-08-08,2404.75
417,2011-08-09,2390.25
418,2011-08-10,2408.5
419,2011-08-11,2367.25
420,2011-08-12,2378.5
421,2011-08-15,2345.25
422,2011-08-16,2338.25
423,2011-08-17,2347.0
424,2011-08-18,2371.0
425,2011-08-19,2308.5
426,2011-08-22,2324.75
427,2011-08-23,2321.75
428,2011-08-24,2321.75
429,2011-08-25,2333.5
430,2011-08-26,2328.75
431,2011-08-29,2360.5
432,2011-08-30,2360.5
433,2011-08-31,2402.25
434,2011-09-01,2401.0
435,2011-09-02,2399.5
436,2011-09-05,2363.25
437,2011-09-06,2345.75
438,2011-09-07,2355.0
439,2011-09-08,2365.5
440,2011-09-09,2342.5
441,2011-09-12,2318.75
442,2011-09-13,2354.25
443,2011-09-14,2329.25
444,2011-09-15,2338.5
445,2011-09-16,2345.5
446,2011-09-19,2309.5
447,2011-09-20,2303.75
448,2011-09-21,2266.25
449,2011-09-22,2224.75
450,2011-09-23,2169.75
451,2011-09-26,2195.25
452,2011-09-27,2193.5
453,2011-09-28,2205.25
454,2011-09-29,2185.5
455,2011-09-30,2206.5
456,2011-10-03,2120.0
457,2011-10-04,2132.5
458,2011-10-05,2131.75
459,2011-10-06,2169.75
460,2011-10-07,2176.25
461,2011-10-10,2185.5
462,2011-10-11,2184.5
463,2011-10-12,2202.25
464,2011-10-13,2177.75
465,2011-10-14,2170.5
466,2011-10-17,2209.0
467,2011-10-18,2157.25
468,2011-10-19,2171.25
469,2011-10-20,2121.25
470,2011-10-21,2109.75
471,2011-10-24,2158.25
472,2011-10-25,2194.5
473,2011-10-26,2195.25
474,2011-10-27,2233.75
475,2011-10-28,2221.25
476,2011-10-31,2186.5
477,2011-11-01,2091.5
478,2011-11-02,2103.25
479,2011-11-03,2123.25
480,2011-11-04,2130.0
481,2011-11-07,2117.5
482,2011-11-08,2092.5
483,2011-11-09,2108.5
484,2011-11-10,2111.75
485,2011-11-11,2115.25
486,2011-11-14,2143.5
487,2011-11-15,2117.25
488,2011-11-16,2097.25
489,2011-11-17,2084.0
490,2011-11-18,2085.25
491,2011-11-21,2074.75
492,2011-11-22,2058.75
493,2011-11-23,2058.75
494,2011-11-24,2002.25
495,2011-11-25,1987.0
496,2011-11-28,2006.25
497,2011-11-29,1990.5
498,2011-11-30,1976.75
499,2011-12-01,2103.25
500,2011-12-02,2139.5
501,2011-12-05,2105.25
502,2011-12-06,2103.25
503,2011-12-07,2101.75
504,2011-12-08,2059.25
505,2011-12-09,2066.25
506,2011-12-12,2026.25
507,2011-12-13,2020.5
508,2011-12-14,1975.75
509,2011-12-15,1982.25
510,2011-12-16,2003.25
